Date,Close
7/2/2019,163.43
7/3/2019,159.71
7/5/2019,162.68
7/8/2019,164.54
7/9/2019,165.97
7/10/2019,170.03
7/11/2019,172.51
7/12/2019,169.69
7/15/2019,172.73
7/16/2019,169.69
7/17/2019,174.05
7/18/2019,176.86
7/19/2019,176.14
7/22/2019,171.19
7/23/2019,177.26
7/24/2019,183.4
7/25/2019,181.62
7/26/2019,180.36
7/29/2019,180.94
7/30/2019,179.49
7/31/2019,167.6
8/1/2019,167.81
8/2/2019,162.12
8/5/2019,157.84
8/6/2019,165.63
8/7/2019,147.02
8/8/2019,149.55
8/9/2019,147.56
8/12/2019,148.85
8/13/2019,151.97
8/14/2019,148.5
8/15/2019,145.25
8/16/2019,145.21
8/19/2019,143.43
8/20/2019,144.4
8/21/2019,144.54
8/22/2019,144.92
8/23/2019,139.74
8/26/2019,142.6
8/27/2019,141.26
8/28/2019,142.87
8/29/2019,145.14
8/30/2019,145.55
9/3/2019,146.56
9/4/2019,140.28
9/5/2019,134
9/6/2019,131.82
9/9/2019,136.17
9/10/2019,140.4
9/11/2019,146.43
9/12/2019,149.14
9/13/2019,149
9/16/2019,151.45
9/17/2019,151.62
9/18/2019,150.08
9/19/2019,147.81
9/20/2019,147.9
9/23/2019,144.01
9/24/2019,140.3
9/25/2019,139.96
9/26/2019,135.08
9/27/2019,132
9/30/2019,134.49
10/1/2019,134.81
10/2/2019,135.51
10/3/2019,139.2
10/4/2019,146.07
10/7/2019,143.6
10/8/2019,137.79
10/9/2019,142.29
10/10/2019,142.71
10/11/2019,145.94
10/14/2019,144.74
10/15/2019,146.89
10/16/2019,146.19
10/17/2019,146.9
10/18/2019,147.21
10/21/2019,147.63
10/22/2019,150
10/23/2019,149.64
10/24/2019,150
10/25/2019,157.71
10/28/2019,157.85
10/29/2019,162.86
10/30/2019,160.1
10/31/2019,155.97
11/1/2019,160.17
11/4/2019,160.5
11/5/2019,164.01
11/6/2019,166.04
11/7/2019,172.93
11/8/2019,164.74
11/11/2019,168.18
11/12/2019,167.03
11/13/2019,166.03
11/14/2019,164.84
11/15/2019,166.76
11/18/2019,166.49
11/19/2019,168.77
11/20/2019,168.16
11/21/2019,167.43
11/22/2019,167.24
11/25/2019,171.83
11/26/2019,176.4
11/27/2019,177.8
11/29/2019,176.92
12/2/2019,174.11
12/3/2019,171.03
12/4/2019,172.95
12/5/2019,169.57
12/6/2019,167.73
12/9/2019,161.13
12/10/2019,158.48
12/11/2019,156.67
12/12/2019,159.32
12/13/2019,159.32
12/16/2019,158.3
12/17/2019,158.24
12/18/2019,158.33
12/19/2019,159.09
12/20/2019,159.68
12/23/2019,162.8
12/24/2019,162.58
12/26/2019,164.63
12/27/2019,164.1
12/30/2019,163.51
12/31/2019,164.27
1/2/2020,163.79
1/3/2020,160.69
1/6/2020,161.41
1/7/2020,158.68
1/8/2020,156.83
1/9/2020,156.87
1/10/2020,161.95
1/13/2020,162.43
1/14/2020,158.09
1/15/2020,159.73
1/16/2020,160.43
1/17/2020,160.36
1/21/2020,168.89
1/22/2020,170.59
1/23/2020,171.32
1/24/2020,171.75
1/27/2020,172.44
1/28/2020,175.9
1/29/2020,177.64
1/30/2020,178.13
1/31/2020,175.46
2/3/2020,177.98
2/4/2020,181.17
2/5/2020,178.43
2/6/2020,180.56
2/7/2020,176.35
2/10/2020,183.22
2/11/2020,185.12
2/12/2020,185.51
2/13/2020,189.69
2/14/2020,190.44
2/18/2020,191.03
2/19/2020,193.76
2/20/2020,191.14
2/21/2020,192.12
2/24/2020,184.27
2/25/2020,176.16
2/26/2020,171.69
2/27/2020,174.75
2/28/2020,165.86
3/2/2020,172.27
3/3/2020,169.64
3/4/2020,177.49
3/5/2020,176.09
3/6/2020,180.88
3/9/2020,170.37
3/10/2020,178.92
3/11/2020,176.86
3/12/2020,168.89
3/13/2020,167.43
3/16/2020,140.88
3/17/2020,145.4
3/18/2020,141.26
3/19/2020,139.95
3/20/2020,132.23
3/23/2020,124.34
3/24/2020,144.09
3/25/2020,146.96
3/26/2020,159.08
3/27/2020,155.37
3/30/2020,163.2
3/31/2020,161.33
4/1/2020,153.61
4/2/2020,161.83
4/3/2020,158.16
4/6/2020,163.14
4/7/2020,153.32
4/8/2020,160.92
4/9/2020,162.8
4/13/2020,159.56
4/14/2020,169.84
4/15/2020,171.09
4/16/2020,171.93
4/17/2020,177.93
4/20/2020,181.07
4/21/2020,181
4/22/2020,180.74
4/23/2020,187
4/24/2020,190.02
4/27/2020,189.29
4/28/2020,179.4
4/29/2020,179.34
4/30/2020,177.32
5/1/2020,170.62
5/4/2020,171.25
5/5/2020,176.43
5/6/2020,176.6
5/7/2020,184.38
5/8/2020,179.07
5/11/2020,191.72
5/12/2020,180.84
5/13/2020,165.17
5/14/2020,169.05
5/15/2020,171.14
5/18/2020,173.32
5/19/2020,168.86
5/20/2020,175.31
5/21/2020,176.11
5/22/2020,176.99
5/26/2020,169.62
5/27/2020,171.15
5/28/2020,172.72
5/29/2020,172.42
6/1/2020,176.03
6/2/2020,176.29
6/3/2020,176.65
6/4/2020,174.73
6/5/2020,179.04
6/8/2020,178.17
6/9/2020,171.12
6/10/2020,170.81
6/11/2020,166.88
6/12/2020,167.7
6/15/2020,172.5
6/16/2020,170.11
6/17/2020,171.4
6/18/2020,173.09
6/19/2020,177.92
6/22/2020,178.29
6/23/2020,182.91
6/24/2020,173
6/25/2020,173.31
6/26/2020,170.67
6/29/2020,172.38
6/30/2020,178.82
7/1/2020,185.27
7/2/2020,187.95
7/6/2020,191.26
7/7/2020,191.17
7/8/2020,193.98
7/9/2020,193.56
